review_id,restaurant_id,review_score,review_content,food_score,service_score,atmosphere_score
ChdDSUhNMG9nS0VJQ0FnSURuMjQzd3hRRRAB,ChIJY7ekJ7upQjQRD-WjBStDYh4,1,"直接先講結論：
水餃皮軟爛難吃！態度不行！衛生堪憂

一家大雷店。我好久沒踩雷了，
居然在一家我吃過的店踩雷！😱

到底在有名什麼？
結論：去吃八方雲集就好，還不用排隊🤣
也不會當老闆的受氣包

就算餃子皮現桿又怎樣？
就算餃子現包現煮又怎樣？
難吃已經是答案。

難吃！難吃！大失敗
不是普通的難吃。
水餃要難吃，真的蠻難的。
但這家店做到了！
水餃不行❌
酸辣湯不行❌
泡菜不行❌不脆、軟軟的，只有酸
（看到很多人拿泡菜才拿的）

來南機場夜市吃什麼都好過於這家水餃。

水餃皮軟爛有點噁（冷凍水餃也不會這樣）、明顯煮過頭或者餃子皮沒做好。
就算餃子皮現桿又怎樣？
就算餃子現包現煮又怎樣？
點了大白菜豬肉水餃，
內餡沒味道，沒豬腥味也沒有白菜的甜味。10顆90元。

依然有蒜頭可自取。

店家態度不敢恭維。
不過就確認了一下，
我們剛剛點的是什麼口味，被兇了一下
闆娘一鼓氣回答你們剛剛已經點了，
不用再點，沒說口味就是大白菜口味。
我知道做吃的很辛苦，但不要把氣撒在客人身上好嗎？

態度可以好一點嗎？
然後被兇了一下，不知道怎麼點湯跟小菜了。

（我轉頭才看到排隊處那個塗塗改改的說明牌呀）

正煩惱著不知去哪點酸辣湯，也不想再問闆娘，牆上有貼，酸辣湯和小菜這邊點。

這家店就是非常混亂。店員都像吃炸藥一樣。

也沒有單子，吃完再結帳，奇妙的是老闆娘一看就知道多少錢，你的595！（蠻兇的對客人說）然後我聽到客人離開時說好像算錯錢，不是570嗎？

基本入座就是一人5顆水餃，
意思就是你一定要點水餃，不能只點酸辣湯和小菜，這也沒關係。每家店有自己的規則和低消。但食物可以好吃一點嗎？

酸辣湯大概也是喝過最難喝！
酸辣湯不就酸酸甜甜辣辣？
這也做不到！然後吃到好幾塊勾欠沒勾好的太白粉😱

吃了一肚氣。
永遠不會來吃了。

收桌子、帶位的老先生，手拿抹布指著一個方向，示意客人往那個方向坐。抹布就一直在我的頭旁邊，我只好一直閃。

依舊很多人排隊，需要等位置，店員幫忙併桌，聽到客人拒絕，店員就完全不尊重客人，大聲說：「怕就不要來吃呀！併桌也不要，那就繼續等吧！」

蠻扯的，東西那麼難吃還跩個二五八萬。
奇怪，排隊的人還是這麼多！

味道跟我幾年前來吃已經不一樣了。
絕對不是我標準太高。
這家店低於一般水準。

諷刺的是，還聽到熟客說他從小吃到大……
但是人客呀，味道變了，你吃不出來嗎？

環境髒亂就算了，這味道不行呀

最後再來嫌貴。錢已經不是重點了⋯⋯
反正不會再來",1,1,1
Ci9DQUlRQUNvZENodHljRjlvT2pSUVFrb3pUMVJWYm14WU5GQnRkREpOYTNKUUxVRRAB,ChIJY7ekJ7upQjQRD-WjBStDYh4,1,要不是最低只有一顆星，不然我還不想給 上前點餐，老闆態度超差也沒先說湯要自己去裡面自取，雖然有貼告示，貼在牆壁上又不是每個人都會去看，如果不想提醒客人不如每個桌子貼一張，員工邊包水餃聽音樂還跟節奏一起抖，這就算了，水餃皮比我阿嬤的皮膚還要爛，口感超級奇怪，1顆水餃10塊錢…我不如去吃八X雲集。至於湯品，酸辣湯醋加太多…不推薦總之不推薦就是了,1,1,1
Ci9DQUlRQUNvZENodHljRjlvT21WMVlWQmhjbkZTZUY5c1lXRkVZakozVUhCT2VVRRAB,ChIJY7ekJ7upQjQRD-WjBStDYh4,1,"以下是給遊客的真實評價。

這裡的食物味道一般。但是，如果可以打零分，我一定會給零分。老闆非常不友善。如果你點的太少，他們不會幫你安排座位，而是讓你打包帶走。真是個令人失望的地方。這家台灣夜市的顧客服務簡直糟糕透頂。",2,1,1
Ci9DQUlRQUNvZENodHljRjlvT2w5SE4yTnJaMHQ0VGxGVVowSmZUMjFVZDNSWFVVRRAB,ChIJY7ekJ7upQjQRD-WjBStDYh4,1,"難吃，誰吃誰失望！

有夠爛的皮，偏噁心
餡料鬆散，沒口感，調味不佳

另外有一面的行動支付的QRcode用不了，前面有人說過了，看起來也沒有要改

等待時間過久，真的別浪費時間吃難吃的水餃，一顆還要十塊錢，有夠貴！",1,1,3
Ci9DQUlRQUNvZENodHljRjlvT201cWFGaHBjRzlaTlRaMlNIRTJNRW90ZFRGd1IxRRAB,ChIJY7ekJ7upQjQRD-WjBStDYh4,1,等很久就算了，水餃皮超軟，內餡調味也很普通，並沒有讓人驚艷的地方，吃完不會有想二訪的感覺，完全不懂為何一堆人排隊吃…,1,1,3
Ci9DQUlRQUNvZENodHljRjlvT21wNE1HaHBRbGhrU1hwb1NWVnhTbVoyYVRkc1ZuYxAB,ChIJY7ekJ7upQjQRD-WjBStDYh4,1,環境髒亂,1,1,1
ChZDSUhNMG9nS0VJQ0FnSUNZakthRlpnEAE,ChIJY7ekJ7upQjQRD-WjBStDYh4,1,來來變徠徠，還漲到一顆10元就算了，還變難吃了。,2,2,2
Ci9DQUlRQUNvZENodHljRjlvT21aUVV6WmZlbWcxWW1GZk5HbHJURmxWY20xaFJuYxAB,ChIJY7ekJ7upQjQRD-WjBStDYh4,1,吃完拉好幾天肚子 水餃皮難吃軟爛又貴,1,1,1
Ci9DQUlRQUNvZENodHljRjlvT2xkdUxXbEpVMDFmY21wZmVFeDBTamRsYlhNNFZuYxAB,ChIJY7ekJ7upQjQRD-WjBStDYh4,1,不好吃就算了 一顆還賣到10元,,,
Ci9DQUlRQUNvZENodHljRjlvT21KS2NYQTVSRXhFTlVwMmQyOTJaemt3WWtWWk0zYxAB,ChIJY7ekJ7upQjQRD-WjBStDYh4,1,真不知道女老闆是在跩啥小🙄一副高高在上的樣子，難怪評論分數越掉越低，瘋狂漲價現在居然一顆水餃要10塊錢？甚至比以前還要小顆，也沒有以前好吃！給女老闆真誠建議：一把年紀了別化濃妝影響客人食慾😊,,,
